frame 79, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 80, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 81, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 82, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 83, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 84, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 85, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 86, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 87, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 88, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 89, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 90, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 91, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 92, TPS: 29.648, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 93, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 94, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 95, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 96, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 97, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 98, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 99, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 100, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 101, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 102, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 103, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 104, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
